productoId,sku,descripcion,bogota_stock,totalDisponible,precio
p3001,GPU-NV-4090-GI,Gigabyte RTX 4090 Gaming OC 24GB,3,10,8700000
p3002,GPU-NV-4080S-AS,ASUS TUF RTX 4080 Super 16GB,5,15,6300000
p3003,GPU-NV-4070S-MS,MSI Ventus RTX 4070 Super 12GB,10,30,3900000
p3004,GPU-NV-4070TI-GI,Gigabyte AORUS RTX 4070 Ti 12GB,8,20,4800000
p3005,GPU-AMD-7900XTX,Sapphire Pulse RX 7900 XTX 24GB,6,15,5100000
p3006,GPU-AMD-7800XT,PowerColor Hellhound RX 7800 XT 16GB,12,35,3100000
p3007,GPU-NV-4060TI-AS,ASUS ROG Strix RTX 4060 Ti 8GB,15,50,2600000
p3008,GPU-AMD-7900GRE,XFX Speedster RX 7900 GRE 16GB,7,22,3400000
p3009,GPU-NV-4090-MS,MSI Suprim Liquid X RTX 4090 24GB,2,5,9500000
p3010,GPU-NV-4080S-GI,Gigabyte AORUS Master RTX 4080 Super,4,12,6800000
p3011,CPU-INT-14900K,Intel Core i9 14900K,10,25,3100000
p3012,CPU-INT-14700K,Intel Core i7 14700K,15,40,2200000
p3013,CPU-INT-14600K,Intel Core i5 14600K,20,60,1600000
p3014,CPU-AMD-7950X3D,AMD Ryzen 9 7950X3D,8,20,2900000
p3015,CPU-AMD-7800X3D,AMD Ryzen 7 7800X3D,25,70,1900000
p3016,CPU-AMD-7900X,AMD Ryzen 9 7900X,12,30,2100000
p3017,CPU-AMD-7700X,AMD Ryzen 7 7700X,18,50,1500000
p3018,CPU-INT-13900KS,Intel Core i9 13900KS Special Edition,5,10,3400000
p3019,CPU-AMD-7950X,AMD Ryzen 9 7950X,7,15,2500000
p3020,CPU-INT-14900KF,Intel Core i9 14900KF (sin graficos),9,22,2950000
p3021,MOBO-AS-Z790-H,ASUS ROG Strix Z790-H Gaming WiFi,8,20,1950000
p3022,MOBO-GI-Z790-AE,Gigabyte Z790 AORUS Elite AX,10,30,1400000
p3023,MOBO-MS-Z790-T,MSI MPG Z790 Carbon WiFi,6,15,2400000
p3024,MOBO-AS-X670E-F,ASUS ROG Strix X670E-F Gaming WiFi,9,25,2100000
p3025,MOBO-GI-X670E-M,Gigabyte X670E AORUS Master,5,12,2600000
p3026,MOBO-ASR-B650E-T,ASRock B650E Taichi,11,30,1800000
p3027,MOBO-MS-B650-T,MSI MPG B650 Tomahawk WiFi,15,45,1100000
p3028,MOBO-AS-B760M,ASUS ROG Strix B760-I Gaming WiFi (Mini-ITX),12,35,1250000
p3029,MOBO-GI-B650M-A,Gigabyte B650M AORUS Elite AX,20,60,950000
p3030,MOBO-ASR-Z790-S,ASRock Z790 Steel Legend WiFi,10,28,1300000
p3031,RAM-COR-D5-64K-60,Corsair Vengeance RGB DDR5 64GB (2x32) 6000MHz,20,50,1250000
p3032,RAM-GKI-D5-32K-64,G.Skill Trident Z5 RGB DDR5 32GB (2x16) 6400MHz,30,80,800000
p3033,RAM-KIN-D5-32K-56,Kingston Fury Renegade DDR5 32GB (2x16) 5600MHz,25,70,720000
p3034,RAM-COR-D5-32K-72,Corsair Dominator Platinum DDR5 32GB (2x16) 7200MHz,10,25,1100000
p3035,RAM-GKI-D5-64K-60N,G.Skill Trident Z5 Neo RGB (AMD Expo) 64GB (2x32) 6000MHz,18,40,1350000
p3036,RAM-KIN-D5-64K-60,Kingston Fury Beast DDR5 64GB (2x32) 6000MHz,22,60,1150000
p3037,RAM-COR-D5-32K-60,Corsair Vengeance DDR5 32GB (2x16) 6000MHz,40,100,690000
p3038,SSD-SAM-990P-2T,Samsung 990 Pro 2TB Gen4 NVMe M.2,50,150,950000
p3039,SSD-WD-SN850X-2T,WD Black SN850X 2TB Gen4 NVMe M.2,40,120,900000
p3040,SSD-SAM-990P-1T,Samsung 990 Pro 1TB Gen4 NVMe M.2,60,200,600000
p3041,SSD-CRU-P5P-2T,Crucial P5 Plus 2TB Gen4 NVMe M.2,55,180,750000
p3042,SSD-KIN-KC3000-2T,Kingston KC3000 2TB Gen4 NVMe M.2,45,130,820000
p3043,SSD-WD-SN850X-4T,WD Black SN850X 4TB Gen4 NVMe M.2,20,50,2100000
p3044,SSD-SEA-FB530-2T,Seagate FireCuda 530 2TB Gen4 NVMe M.2,30,70,980000
p3045,SSD-SAM-980P-1T,Samsung 980 Pro 1TB Gen4 NVMe M.2,35,100,550000
p3046,SSD-COR-MP700-2T,Corsair MP700 2TB Gen5 NVMe M.2,10,25,1600000
p3047,SSD-CRU-T700-2T,Crucial T700 2TB Gen5 NVMe M.2,12,30,1550000
p3048,SSD-SAM-870E-4T,"Samsung 870 EVO 4TB SATA III 2.5""",15,40,1400000
p3049,SSD-CRU-MX500-2T,"Crucial MX500 2TB SATA III 2.5""",25,80,650000
p3050,PSU-COR-1200X,Corsair RM1200x Shift 1200W 80+ Gold,15,30,1400000
p3051,PSU-SEA-1000P,Seasonic Vertex PX-1000 1000W 80+ Platinum,12,25,1250000
p3052,PSU-AS-1000G,ASUS ROG Strix 1000W 80+ Gold Aura Edition,10,22,1100000
p3053,PSU-COR-1000E,Corsair RMe Series RM1000e 1000W 80+ Gold,20,50,900000
p3054,PSU-BEQ-1200P,Be Quiet! Dark Power Pro 13 1200W 80+ Titanium,5,10,2200000
p3055,PSU-MSI-1000G,MSI MPG A1000G PCIE5 1000W 80+ Gold,18,40,950000
p3056,PSU-COR-850E,Corsair RMe Series RM850e 850W 80+ Gold,30,80,750000
p3057,PSU-SEA-850P,Seasonic Focus PX-850 850W 80+ Platinum,14,35,880000
p3058,PSU-THER-1200P,Thermaltake Toughpower GF3 1200W 80+ Gold,11,28,1150000
p3059,PSU-COR-SF750,Corsair SF750 750W 80+ Platinum (SFX),20,50,800000
p3060,CASE-LIA-O11DEVO,Lian Li O11 Dynamic EVO Mid-Tower (Black),15,30,900000
p3061,CASE-LIA-O11DEVO-W,Lian Li O11 Dynamic EVO Mid-Tower (White),12,25,920000
p3062,CASE-NZXT-H9F,NZXT H9 Flow Mid-Tower (Black),10,28,850000
p3063,CASE-FRA-NORTH,Fractal Design North Mid-Tower (Chalk White),14,35,780000
p3064,CASE-COR-5000D,Corsair 5000D Airflow Mid-Tower (Black),18,40,700000
p3065,CASE-HYTE-Y60,Hyte Y60 Mid-Tower (Red),8,20,1100000
p3066,CASE-LIA-LAN216,Lian Li Lancool 216 RGB (Black),25,60,550000
p3067,CASE-BEQ-SB802,Be Quiet! Silent Base 802 (Black),7,15,880000
p3068,CASE-FRA-TORR,Fractal Design Torrent (Black),6,12,1050000
p3069,CASE-COR-7000D,Corsair 7000D Airflow Full-Tower (White),4,10,1400000
