productoId,nombre,descripcion,marca,categoria,precio,stock
p4001,RTX 4090 Gaming OC,Gigabyte RTX 4090 Gaming OC 24GB,Gigabyte,GPU,8700000,10
p4002,RTX 4080 Super TUF,ASUS TUF RTX 4080 Super 16GB,ASUS,GPU,6300000,15
p4003,RTX 4070 Super Ventus,MSI Ventus RTX 4070 Super 12GB,MSI,GPU,3900000,30
p4004,RTX 4070 Ti AORUS,Gigabyte AORUS RTX 4070 Ti 12GB,Gigabyte,GPU,4800000,20
p4005,RX 7900 XTX Pulse,Sapphire Pulse RX 7900 XTX 24GB,Sapphire,GPU,5100000,15
p4006,RX 7800 XT Hellhound,PowerColor Hellhound RX 7800 XT 16GB,PowerColor,GPU,3100000,35
p4007,RTX 4060 Ti Strix,ASUS ROG Strix RTX 4060 Ti 8GB,ASUS,GPU,2600000,50
p4008,RX 7900 GRE Speedster,XFX Speedster RX 7900 GRE 16GB,XFX,GPU,3400000,22
p4009,RTX 4090 Suprim Liquid,MSI Suprim Liquid X RTX 4090 24GB,MSI,GPU,9500000,5
p4010,RTX 4080S AORUS Master,Gigabyte AORUS Master RTX 4080 Super,Gigabyte,GPU,6800000,12
p4011,Core i9 14900K,Procesador Intel Core i9 14900K,Intel,CPU,3100000,25
p4012,Core i7 14700K,Procesador Intel Core i7 14700K,Intel,CPU,2200000,40
p4013,Core i5 14600K,Procesador Intel Core i5 14600K,Intel,CPU,1600000,60
p4014,Ryzen 9 7950X3D,Procesador AMD Ryzen 9 7950X3D,AMD,CPU,2900000,20
p4015,Ryzen 7 7800X3D,Procesador AMD Ryzen 7 7800X3D,AMD,CPU,1900000,70
p4016,Ryzen 9 7900X,Procesador AMD Ryzen 9 7900X,AMD,CPU,2100000,30
p4017,Ryzen 7 7700X,Procesador AMD Ryzen 7 7700X,AMD,CPU,1500000,50
p4018,Core i9 13900KS,Procesador Intel Core i9 13900KS Special Edition,Intel,CPU,3400000,10
p4019,Ryzen 9 7950X,Procesador AMD Ryzen 9 7950X,AMD,CPU,2500000,15
p4020,Core i9 14900KF,Procesador Intel Core i9 14900KF (sin graficos),Intel,CPU,2950000,22
p4021,ROG Strix Z790-H,ASUS ROG Strix Z790-H Gaming WiFi,ASUS,MOBO,1950000,20
p4022,Z790 AORUS Elite AX,Gigabyte Z790 AORUS Elite AX,Gigabyte,MOBO,1400000,30
p4023,MPG Z790 Carbon,MSI MPG Z790 Carbon WiFi,MSI,MOBO,2400000,15
p4024,ROG Strix X670E-F,ASUS ROG Strix X670E-F Gaming WiFi,ASUS,MOBO,2100000,25
p4025,X670E AORUS Master,Gigabyte X670E AORUS Master,Gigabyte,MOBO,2600000,12
p4026,B650E Taichi,ASRock B650E Taichi,ASRock,MOBO,1800000,30
p4027,MPG B650 Tomahawk,MSI MPG B650 Tomahawk WiFi,MSI,MOBO,1100000,45
p4028,ROG Strix B760-I,ASUS ROG Strix B760-I Gaming WiFi (Mini-ITX),ASUS,MOBO,1250000,35
p4029,B650M AORUS Elite,Gigabyte B650M AORUS Elite AX,Gigabyte,MOBO,950000,60
p4030,Z790 Steel Legend,ASRock Z790 Steel Legend WiFi,ASRock,MOBO,1300000,28
p4031,Vengeance RGB 64GB 6000,Corsair Vengeance RGB DDR5 64GB (2x32) 6000MHz,Corsair,RAM,1250000,50
p4032,Trident Z5 RGB 32GB 6400,G.Skill Trident Z5 RGB DDR5 32GB (2x16) 6400MHz,G.Skill,RAM,800000,80
p4033,Fury Renegade 32GB 5600,Kingston Fury Renegade DDR5 32GB (2x16) 5600MHz,Kingston,RAM,720000,70
p4034,Dominator Platinum 32GB 7200,Corsair Dominator Platinum DDR5 32GB (2x16) 7200MHz,Corsair,RAM,1100000,25
p4035,Trident Z5 Neo 64GB 6000,G.Skill Trident Z5 Neo RGB (AMD Expo) 64GB (2x32) 6000MHz,G.Skill,RAM,1350000,40
